歌曲ID	歌曲名	模式ID	难度	星级
2233	某时某刻 Catch Me When I Fall	4	1	1
2233	某时某刻 Catch Me When I Fall	4	2	1
2233	某时某刻 Catch Me When I Fall	4	3	1
2233	某时某刻 Catch Me When I Fall	11	1	1
2233	某时某刻 Catch Me When I Fall	11	2	2
2233	某时某刻 Catch Me When I Fall	11	3	2
2233	某时某刻 Catch Me When I Fall	12	1	1
2233	某时某刻 Catch Me When I Fall	12	2	1
2233	某时某刻 Catch Me When I Fall	12	3	1
2233	某时某刻 Catch Me When I Fall	13	1	1
2233	某时某刻 Catch Me When I Fall	13	2	2
2233	某时某刻 Catch Me When I Fall	13	3	2
2233	某时某刻 Catch Me When I Fall	14	1	1
2233	某时某刻 Catch Me When I Fall	14	2	1
2233	某时某刻 Catch Me When I Fall	14	3	1
2234	戏言生态群	1	1	2
2234	戏言生态群	1	2	2
2234	戏言生态群	1	3	2
2234	戏言生态群	2	1	3
2234	戏言生态群	2	2	3
2234	戏言生态群	2	3	3
2234	戏言生态群	3	1	2
2234	戏言生态群	3	2	2
2234	戏言生态群	3	3	2
2234	戏言生态群	4	1	3
2234	戏言生态群	4	2	3
2234	戏言生态群	4	3	3
2234	戏言生态群	11	1	2
2234	戏言生态群	11	2	2
2234	戏言生态群	11	3	2
2234	戏言生态群	12	1	3
2234	戏言生态群	12	2	3
2234	戏言生态群	12	3	3
2234	戏言生态群	13	1	2
2234	戏言生态群	13	2	2
2234	戏言生态群	13	3	2
2234	戏言生态群	14	1	3
2234	戏言生态群	14	2	3
2234	戏言生态群	14	3	3
2234	戏言生态群	21	1	2
2234	戏言生态群	21	2	2
2234	戏言生态群	21	3	2
2240	Unity	1	1	1
2240	Unity	1	2	3
2240	Unity	1	3	3
2240	Unity	2	1	1
2240	Unity	2	2	1
2240	Unity	2	3	1
2240	Unity	3	1	1
2240	Unity	3	2	3
2240	Unity	3	3	3
2240	Unity	4	1	1
2240	Unity	4	2	1
2240	Unity	4	3	1
2240	Unity	11	1	1
2240	Unity	11	2	3
2240	Unity	11	3	3
2240	Unity	12	1	1
2240	Unity	12	2	1
2240	Unity	12	3	1
2240	Unity	13	1	2
2240	Unity	13	2	3
2240	Unity	13	3	3
2240	Unity	14	1	1
2240	Unity	14	2	1
2240	Unity	14	3	1
2241	Excited	1	1	1
2241	Excited	1	2	1
2241	Excited	1	3	1
2241	Excited	2	1	1
2241	Excited	2	2	1
2241	Excited	2	3	1
2241	Excited	3	1	1
2241	Excited	3	2	1
2241	Excited	3	3	1
2241	Excited	4	1	1
2241	Excited	4	2	1
2241	Excited	4	3	1
2241	Excited	11	1	1
2241	Excited	11	2	1
2241	Excited	11	3	1
2241	Excited	12	1	1
2241	Excited	12	2	1
2241	Excited	12	3	1
2241	Excited	13	1	1
2241	Excited	13	2	1
2241	Excited	13	3	1
2241	Excited	14	1	1
2241	Excited	14	2	1
2241	Excited	14	3	1
2242	Hard Carry	1	1	2
2242	Hard Carry	1	2	2
2242	Hard Carry	1	3	3
2242	Hard Carry	2	1	1
2242	Hard Carry	2	2	1
2242	Hard Carry	2	3	1
2242	Hard Carry	3	1	2
2242	Hard Carry	3	2	2
2242	Hard Carry	3	3	3
2242	Hard Carry	4	1	1
2242	Hard Carry	4	2	1
2242	Hard Carry	4	3	1
2242	Hard Carry	11	1	2
2242	Hard Carry	11	2	2
2242	Hard Carry	11	3	3
2242	Hard Carry	12	1	1
2242	Hard Carry	12	2	1
2242	Hard Carry	12	3	1
2242	Hard Carry	13	1	2
2242	Hard Carry	13	2	2
2242	Hard Carry	13	3	3
2242	Hard Carry	14	1	1
2242	Hard Carry	14	2	1
2242	Hard Carry	14	3	1
2242	Hard Carry	21	1	1
2242	Hard Carry	21	2	1
2242	Hard Carry	21	3	1
2243	格列·弗雷	1	1	1
2243	格列·弗雷	1	2	1
2243	格列·弗雷	1	3	1
2243	格列·弗雷	2	1	1
2243	格列·弗雷	2	2	1
2243	格列·弗雷	2	3	1
2243	格列·弗雷	3	1	1
2243	格列·弗雷	3	2	1
2243	格列·弗雷	3	3	1
2243	格列·弗雷	4	1	1
2243	格列·弗雷	4	2	1
2243	格列·弗雷	4	3	1
2243	格列·弗雷	11	1	1
2243	格列·弗雷	11	2	1
2243	格列·弗雷	11	3	1
2243	格列·弗雷	12	1	1
2243	格列·弗雷	12	2	1
2243	格列·弗雷	12	3	1
2243	格列·弗雷	13	1	1
2243	格列·弗雷	13	2	1
2243	格列·弗雷	13	3	1
2243	格列·弗雷	14	1	1
2243	格列·弗雷	14	2	1
2243	格列·弗雷	14	3	1
2244	It's Time	1	1	3
2244	It's Time	1	2	2
2244	It's Time	1	3	2
2244	It's Time	2	1	1
2244	It's Time	2	2	1
2244	It's Time	2	3	1
2244	It's Time	3	1	3
2244	It's Time	3	2	2
2244	It's Time	3	3	2
2244	It's Time	4	1	1
2244	It's Time	4	2	1
2244	It's Time	4	3	1
2244	It's Time	11	1	3
2244	It's Time	11	2	2
2244	It's Time	11	3	2
2244	It's Time	12	1	1
2244	It's Time	12	2	1
2244	It's Time	12	3	1
2244	It's Time	13	1	3
2244	It's Time	13	2	2
2244	It's Time	13	3	2
2244	It's Time	14	1	1
2244	It's Time	14	2	1
2244	It's Time	14	3	1
2244	It's Time	21	1	1
2244	It's Time	21	2	1
2244	It's Time	21	3	1
2245	滴滴叭叭	1	1	2
2245	滴滴叭叭	1	2	2
2245	滴滴叭叭	1	3	3
2245	滴滴叭叭	2	1	1
2245	滴滴叭叭	2	2	1
2245	滴滴叭叭	2	3	1
2245	滴滴叭叭	3	1	2
2245	滴滴叭叭	3	2	2
2245	滴滴叭叭	3	3	3
2245	滴滴叭叭	4	1	1
2245	滴滴叭叭	4	2	1
2245	滴滴叭叭	4	3	1
2245	滴滴叭叭	11	1	2
2245	滴滴叭叭	11	2	2
2245	滴滴叭叭	11	3	3
2245	滴滴叭叭	12	1	1
2245	滴滴叭叭	12	2	1
2245	滴滴叭叭	12	3	1
2245	滴滴叭叭	13	1	2
2245	滴滴叭叭	13	2	2
2245	滴滴叭叭	13	3	3
2245	滴滴叭叭	14	1	1
2245	滴滴叭叭	14	2	1
2245	滴滴叭叭	14	3	1
2245	滴滴叭叭	21	1	1
2245	滴滴叭叭	21	2	1
2245	滴滴叭叭	21	3	1
2246	Dancing King	1	1	3
2246	Dancing King	1	2	2
2246	Dancing King	1	3	3
2246	Dancing King	2	1	2
2246	Dancing King	2	2	2
2246	Dancing King	2	3	2
2246	Dancing King	3	1	3
2246	Dancing King	3	2	2
2246	Dancing King	3	3	3
2246	Dancing King	4	1	2
2246	Dancing King	4	2	2
2246	Dancing King	4	3	2
2246	Dancing King	11	1	3
2246	Dancing King	11	2	2
2246	Dancing King	11	3	3
2246	Dancing King	12	1	2
2246	Dancing King	12	2	2
2246	Dancing King	12	3	2
2246	Dancing King	13	1	3
2246	Dancing King	13	2	2
2246	Dancing King	13	3	3
2246	Dancing King	14	1	2
2246	Dancing King	14	2	2
2246	Dancing King	14	3	2
2246	Dancing King	21	1	2
2246	Dancing King	21	2	2
2246	Dancing King	21	3	2
2247	Treat You Better	1	1	1
2247	Treat You Better	1	2	1
2247	Treat You Better	1	3	1
2247	Treat You Better	2	1	3
2247	Treat You Better	2	2	3
2247	Treat You Better	2	3	3
2247	Treat You Better	3	1	1
2247	Treat You Better	3	2	1
2247	Treat You Better	3	3	1
2247	Treat You Better	4	1	3
2247	Treat You Better	4	2	3
2247	Treat You Better	4	3	3
2247	Treat You Better	11	1	1
2247	Treat You Better	11	2	1
2247	Treat You Better	11	3	1
2247	Treat You Better	12	1	3
2247	Treat You Better	12	2	3
2247	Treat You Better	12	3	3
2247	Treat You Better	13	1	1
2247	Treat You Better	13	2	1
2247	Treat You Better	13	3	1
2247	Treat You Better	14	1	3
2247	Treat You Better	14	2	3
2247	Treat You Better	14	3	3
2247	Treat You Better	21	1	3
2247	Treat You Better	21	2	3
2247	Treat You Better	21	3	3
2248	Um Oh Ah Yeh	1	1	1
2248	Um Oh Ah Yeh	1	2	1
2248	Um Oh Ah Yeh	1	3	1
2248	Um Oh Ah Yeh	2	1	1
2248	Um Oh Ah Yeh	2	2	1
2248	Um Oh Ah Yeh	2	3	1
2248	Um Oh Ah Yeh	3	1	1
2248	Um Oh Ah Yeh	3	2	1
2248	Um Oh Ah Yeh	3	3	1
2248	Um Oh Ah Yeh	4	1	1
2248	Um Oh Ah Yeh	4	2	1
2248	Um Oh Ah Yeh	4	3	1
2248	Um Oh Ah Yeh	11	1	1
2248	Um Oh Ah Yeh	11	2	1
2248	Um Oh Ah Yeh	11	3	1
2248	Um Oh Ah Yeh	12	1	1
2248	Um Oh Ah Yeh	12	2	1
2248	Um Oh Ah Yeh	12	3	1
2248	Um Oh Ah Yeh	13	1	1
2248	Um Oh Ah Yeh	13	2	1
2248	Um Oh Ah Yeh	13	3	1
2248	Um Oh Ah Yeh	14	1	1
2248	Um Oh Ah Yeh	14	2	1
2248	Um Oh Ah Yeh	14	3	1
2248	Um Oh Ah Yeh	21	1	1
2248	Um Oh Ah Yeh	21	2	1
2248	Um Oh Ah Yeh	21	3	1
2249	栅栏间隙偷窥你	1	1	2
2249	栅栏间隙偷窥你	1	2	2
2249	栅栏间隙偷窥你	1	3	1
2249	栅栏间隙偷窥你	2	1	2
2249	栅栏间隙偷窥你	2	2	2
2249	栅栏间隙偷窥你	2	3	2
2249	栅栏间隙偷窥你	3	1	2
2249	栅栏间隙偷窥你	3	2	2
2249	栅栏间隙偷窥你	3	3	1
2249	栅栏间隙偷窥你	4	1	2
2249	栅栏间隙偷窥你	4	2	2
2249	栅栏间隙偷窥你	4	3	2
2249	栅栏间隙偷窥你	11	1	2
2249	栅栏间隙偷窥你	11	2	2
2249	栅栏间隙偷窥你	11	3	1
2249	栅栏间隙偷窥你	12	1	2
2249	栅栏间隙偷窥你	12	2	2
2249	栅栏间隙偷窥你	12	3	2
2249	栅栏间隙偷窥你	13	1	2
2249	栅栏间隙偷窥你	13	2	2
2249	栅栏间隙偷窥你	13	3	1
2249	栅栏间隙偷窥你	14	1	2
2249	栅栏间隙偷窥你	14	2	2
2249	栅栏间隙偷窥你	14	3	2
2249	栅栏间隙偷窥你	21	1	2
2249	栅栏间隙偷窥你	21	2	2
2249	栅栏间隙偷窥你	21	3	2
